མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,719,2,1,《པེ་》《སྣར་》,ལེའུ་བཅོ་བརྒྱད་པའི་འགྲེལ་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,737,100,1,《པེ་》《སྣར་》,m ཏེ།,
,,101,2,《པེ་》,དུས་སུ་སྐུ་སྒྲུབ།,《སྣར་》,དུས་སུ་སྐུ་བསྒྲུབ།
,,102,3,《པེ་》《སྣར་》,པས།,
,,103,4,《པེ་》《སྣར་》,བསྒྲུབས་ནས།,
,,104,5,《པེ་》《སྣར་》,བསྒྲུབ།,
,,105,6,《པེ་》《སྣར་》,སྒྲུབ།,
,,106,7,《པེ་》《སྣར་》,p མ་ཡིན།,
,,107,8,《པེ་》《སྣར་》,པས།,
,,108,9,《པེ་》《སྣར་》,ཀྱིས།,
,,109,10,《པེ་》《སྣར་》,m སོགས་པ།,
,738,110,1,《པེ་》《སྣར་》,ལོ།,
,,111,2,《པེ་》《སྣར་》,p ལྔ་བ།,
,,112,3,《པེ་》《སྣར་》,m མི།,
,,113,4,《པེ་》《སྣར་》,བྱ་བ།,
,,114,5,《པེ་》《སྣར་》,ཉེ་བར།,
,,115,6,《པེ་》《སྣར་》,གཞི།,
,739,116,1,《པེ་》《སྣར་》,གྱིས།,
,,117,2,《པེ་》《སྣར་》,ཏོ།,
,740,118,1,《པེ་》《སྣར་》,ཀྱིས།,
,,119,2,《པེ་》《སྣར་》,དེ།,
,,120,3,《པེ་》《སྣར་》,རང་བཞིན་གྱི་མིང་གི།,
,,121,4,《པེ་》《སྣར་》,p པའིི།,
,,122,5,《པེ་》《སྣར་》,བརླབས།,
,,123,6,《པེ་》《སྣར་》,ཉེ་དོན་བྱེད་པ།,
,,124,7,《པེ་》《སྣར་》,གྱུར་པའོ།,
,,125,8,《པེ་》《སྣར་》,མེད།,
,,126,9,《པེ་》《སྣར་》,པ།,
,,127,10,《པེ་》《སྣར་》,སྐྱེད།,
,741,128,1,《པེ་》《སྣར་》,p གི།,
,,129,2,《པེ་》《སྣར་》,ཤེས་རབ་དང་ཐབས།,
,742,130,1,《པེ་》《སྣར་》,སྟེ།,
,,131,2,《པེ་》《སྣར་》,བསྡུ་བ།,
,,132,3,《པེ་》《སྣར་》,p དུ།,
,,133,4,《པེ་》《སྣར་》,m མོ།,
,743,134,1,《པེ་》《སྣར་》,ཀྱང་།,
,,135,2,《པེ་》《སྣར་》,ཀྱིས་རྒྱུན་ནི།,
,,136,3,《པེ་》《སྣར་》,རྒྱུན།,
,,137,4,《པེ་》《སྣར་》,m དང་།,
,,138,5,《པེ་》《སྣར་》,p དག,
